"Add","Add"
"Bluesky","Bluesky"
"CoC Number","CoC Number"
"CoC-Number","CoC-Number"
"Day of Week","Day of Week"
"Each option can be a full url or just the username","Each option can be a full url or just the username"
"Email","Email"
"Enabled Opening Hours of Operation","Enabled Opening Hours of Operation"
"Enabled","Enabled"
"Extra Store Phone Number","Extra Store Phone Number"
"Facebook","Facebook"
"Follow us on","Follow us on"
"Friday","Friday"
"Go to our %1 page","Go to our %1 page"
"Hours","Hours"
"Iban-Number","Iban-Number"
"IBAN/BANK Number","IBAN/BANK Number"
"Instagram","Instagram"
"LinkedIn","LinkedIn"
"Mastodon","Mastodon"
"Message","Message"
"Monday","Monday"
"No Store Hours Configured","No Store Hours Configured"
"No Store Socials Configured","No Store Socials Configured"
"Notices","Notices"
"Opening Hours of Operation","Opening Hours of Operation"
"Opening Hours","Opening Hours"
"Phone","Phone"
"Pinterest","Pinterest"
"Saturday","Saturday"
"Siteation","Siteation"
"Socials","Socials"
"Store Hours of Operation","Store Hours of Operation"
"Store Info","Store Info"
"Store Information","Store Information"
"Store Notice","Store Notice"
"Sunday","Sunday"
"Threads","Threads"
"Thursday","Thursday"
"Tuesday","Tuesday"
"VAT-Number","VAT-Number"
"Vimeo","Vimeo"
"Wednesday","Wednesday"
"Wensday","Wensday"
"WhatsApp Phone Number","WhatsApp Phone Number"
"Whatsapp","Whatsapp"
"X (Twitter)","X (Twitter)"
"YouTube","YouTube"
